task,candidate,classifier,C,class_weight,feature_dimensions,train_rows,validation_rows,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,fit_seconds,iterations,screen,converged
label_3,fusion__dinov2_base__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,100.0,balanced,1152,9958,3327,0.9149383829275624,0.9143582700937382,0.914843360017042,0.9133615690329906,1.4000574160803607,0.1625608875852437,0.0795774015834867,2.1399841999518685,116,capacity_base,True
label_3,fusion__dinov2_small__full_frame__dinov2_small__person_context_10,standardized_multinomial_logistic,0.1,none,768,9958,3327,0.9146378118425008,0.9139214200563622,0.9144966962871676,0.9146733479327614,0.2454547970572341,0.1294796795559552,0.0345769180243019,1.7612925000139512,171,required_small,True
label_3,fusion__convnext_small__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,0.01,balanced,1152,9958,3327,0.9140366696723776,0.913916394862192,0.914303975413258,0.9155149846908772,0.2233915501869604,0.1293487416565805,0.0131942423804748,1.7191884000203572,91,required_small,True
label_3,fusion__dinov2_base__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,100.0,none,1152,9958,3327,0.9143372407574392,0.9136683437565134,0.9141925316699148,0.912495681002494,1.3994296139844724,0.1630027671447254,0.0803392327592869,2.0157523000380024,117,capacity_base,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,1.0,balanced,768,9958,3327,0.9140366696723776,0.9132299626180966,0.9140551576848204,0.913855729261715,0.3797132724525185,0.143506890711007,0.058798685239883,3.178068400011398,276,capacity_base,True
label_3,fusion__dinov2_base__person_context_10__dinov2_small__person_context_10,standardized_multinomial_logistic,0.1,none,1152,9958,3327,0.9140366696723776,0.9130321427835912,0.9135821900330156,0.9116387756757304,0.3039454881579018,0.1329621746851886,0.0487770592445183,3.256660600018222,214,capacity_base,True
label_3,fusion__dinov2_small__full_frame__dinov2_small__person_context_10,standardized_multinomial_logistic,0.1,balanced,768,9958,3327,0.9125338142470696,0.912304483629044,0.9126820637264744,0.914451821886976,0.2516911871202786,0.1324688116238654,0.0369487434173968,1.7118715000106022,175,required_small,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,1.0,none,768,9958,3327,0.9134355275022544,0.9122528943116552,0.913286385828161,0.911894123730154,0.3750474764800147,0.1424857456655269,0.0606164644798871,3.997487699962221,292,capacity_base,True
label_3,fusion__convnext_small__full_frame__dinov2_base__full_frame,standardized_multinomial_logistic,100.0,none,1536,9958,3327,0.9125338142470696,0.911917583142778,0.9124712286483334,0.9111133280613176,1.274729072948031,0.1675780443193931,0.0808787220289766,2.471588599961251,78,capacity_base,True
label_3,fusion__dinov2_small__person_context_10__dinov2_small__person_context_25,standardized_multinomial_logistic,0.01,none,768,9958,3327,0.9125338142470696,0.9117975370460096,0.912126110653814,0.9114066244905408,0.2171705027685452,0.1281198304871884,0.0156081529857277,0.910421199980192,101,required_small,True
label_3,fusion__dinov2_base__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,1.0,none,1152,9958,3327,0.9125338142470696,0.911734379507086,0.9123954257138516,0.9107717622726442,0.5778602277050883,0.1534906809166862,0.0719319014420935,5.1124007000471465,244,capacity_base,True
