family,image_id,curve,fraction,target_probability
convnext_small_full,p1_01572,random_deletion,0.4,0.18098304917414984
convnext_small_full,p1_01572,random_deletion,0.6,0.3543136914571126
convnext_small_full,p1_01572,random_deletion,0.8,0.4705031414826711
convnext_small_full,p1_01572,random_deletion,1.0,0.4265557328859965
convnext_small_full,p1_01646,deletion,0.0,0.9997072815895081
convnext_small_full,p1_01646,deletion,0.1,0.9826093117396036
convnext_small_full,p1_01646,deletion,0.2,0.29067715505758923
convnext_small_full,p1_01646,deletion,0.4,0.14202301328380904
convnext_small_full,p1_01646,deletion,0.6,0.09150126824776332
convnext_small_full,p1_01646,deletion,0.8,0.18397664527098337
convnext_small_full,p1_01646,deletion,1.0,0.7141631444295248
convnext_small_full,p1_01646,insertion,0.0,0.7141631444295248
convnext_small_full,p1_01646,insertion,0.1,0.846723735332489
convnext_small_full,p1_01646,insertion,0.2,0.977299968401591
convnext_small_full,p1_01646,insertion,0.4,0.9891660610834757
convnext_small_full,p1_01646,insertion,0.6,0.9965918262799581
convnext_small_full,p1_01646,insertion,0.8,0.9979338049888611
convnext_small_full,p1_01646,insertion,1.0,0.9997072815895081
convnext_small_full,p1_01646,random_deletion,0.0,0.9997072815895081
convnext_small_full,p1_01646,random_deletion,0.1,0.9987197518348694
convnext_small_full,p1_01646,random_deletion,0.2,0.9920230309168497
convnext_small_full,p1_01646,random_deletion,0.4,0.6019754012425741
convnext_small_full,p1_01646,random_deletion,0.6,0.203017587463061
convnext_small_full,p1_01646,random_deletion,0.8,0.4425534705320994
convnext_small_full,p1_01646,random_deletion,1.0,0.7141631444295248
convnext_small_full,p1_01658,deletion,0.0,0.9865515828132629
convnext_small_full,p1_01658,deletion,0.1,0.7221061786015829
convnext_small_full,p1_01658,deletion,0.2,0.8542633056640625
convnext_small_full,p1_01658,deletion,0.4,0.5698782602945963
convnext_small_full,p1_01658,deletion,0.6,0.16184369971354803
convnext_small_full,p1_01658,deletion,0.8,0.12131692965825398
convnext_small_full,p1_01658,deletion,1.0,0.07098391652107239
convnext_small_full,p1_01658,insertion,0.0,0.07098391652107239
convnext_small_full,p1_01658,insertion,0.1,0.5086525777975718
convnext_small_full,p1_01658,insertion,0.2,0.8887264529863993
convnext_small_full,p1_01658,insertion,0.4,0.9847177267074585
convnext_small_full,p1_01658,insertion,0.6,0.9958939552307129
convnext_small_full,p1_01658,insertion,0.8,0.9958175818125407
convnext_small_full,p1_01658,insertion,1.0,0.9865515828132629
convnext_small_full,p1_01658,random_deletion,0.0,0.9865515828132629
convnext_small_full,p1_01658,random_deletion,0.1,0.9728008310000101
convnext_small_full,p1_01658,random_deletion,0.2,0.9943024714787801
convnext_small_full,p1_01658,random_deletion,0.4,0.9413469235102335
convnext_small_full,p1_01658,random_deletion,0.6,0.9543238282203674
convnext_small_full,p1_01658,random_deletion,0.8,0.7059381206830343
convnext_small_full,p1_01658,random_deletion,1.0,0.07098391652107239
convnext_small_full,p1_01663,deletion,0.0,0.9420978824297587
convnext_small_full,p1_01663,deletion,0.1,0.5929074982802073
convnext_small_full,p1_01663,deletion,0.2,0.3936971227327983
convnext_small_full,p1_01663,deletion,0.4,0.16046000520388284
convnext_small_full,p1_01663,deletion,0.6,0.09155699362357457
convnext_small_full,p1_01663,deletion,0.8,0.049194482465585075
convnext_small_full,p1_01663,deletion,1.0,0.2698790530363719
convnext_small_full,p1_01663,insertion,0.0,0.2698790530363719
convnext_small_full,p1_01663,insertion,0.1,0.47985392808914185
convnext_small_full,p1_01663,insertion,0.2,0.6338968078295389
convnext_small_full,p1_01663,insertion,0.4,0.8670633236567179
convnext_small_full,p1_01663,insertion,0.6,0.985096792380015
convnext_small_full,p1_01663,insertion,0.8,0.9701069792111715
convnext_small_full,p1_01663,insertion,1.0,0.9420978824297587
convnext_small_full,p1_01663,random_deletion,0.0,0.9420978824297587
convnext_small_full,p1_01663,random_deletion,0.1,0.9407283663749695
convnext_small_full,p1_01663,random_deletion,0.2,0.9092212319374084
convnext_small_full,p1_01663,random_deletion,0.4,0.9349717895189921
convnext_small_full,p1_01663,random_deletion,0.6,0.8836647669474283
convnext_small_full,p1_01663,random_deletion,0.8,0.3582979887723923
convnext_small_full,p1_01663,random_deletion,1.0,0.2698790530363719
convnext_small_full,p1_01845,deletion,0.0,0.9957382082939148
convnext_small_full,p1_01845,deletion,0.1,0.9510185917218527
convnext_small_full,p1_01845,deletion,0.2,0.9145999948183695
convnext_small_full,p1_01845,deletion,0.4,0.8895076314608256
convnext_small_full,p1_01845,deletion,0.6,0.8356212774912516
convnext_small_full,p1_01845,deletion,0.8,0.5127634306748708
convnext_small_full,p1_01845,deletion,1.0,0.15270884335041046
convnext_small_full,p1_01845,insertion,0.0,0.15270884335041046
convnext_small_full,p1_01845,insertion,0.1,0.9259008367856344
convnext_small_full,p1_01845,insertion,0.2,0.9864754875500997
convnext_small_full,p1_01845,insertion,0.4,0.9988961021105448
convnext_small_full,p1_01845,insertion,0.6,0.9994581937789917
convnext_small_full,p1_01845,insertion,0.8,0.9993718266487122
convnext_small_full,p1_01845,insertion,1.0,0.9957382082939148
convnext_small_full,p1_01845,random_deletion,0.0,0.9957382082939148
convnext_small_full,p1_01845,random_deletion,0.1,0.9647022684415182
convnext_small_full,p1_01845,random_deletion,0.2,0.9377029538154602
convnext_small_full,p1_01845,random_deletion,0.4,0.7498177091280619
convnext_small_full,p1_01845,random_deletion,0.6,0.8635693192481995
convnext_small_full,p1_01845,random_deletion,0.8,0.5252828299999237
convnext_small_full,p1_01845,random_deletion,1.0,0.15270884335041046
convnext_small_full,p1_01881,deletion,0.0,0.6929887930552164
convnext_small_full,p1_01881,deletion,0.1,0.17307836810747781
convnext_small_full,p1_01881,deletion,0.2,0.11038907989859581
convnext_small_full,p1_01881,deletion,0.4,0.44819992780685425
convnext_small_full,p1_01881,deletion,0.6,0.347680668036143
convnext_small_full,p1_01881,deletion,0.8,0.4583977162837982
convnext_small_full,p1_01881,deletion,1.0,0.5614505310853323
convnext_small_full,p1_01881,insertion,0.0,0.5614505310853323
convnext_small_full,p1_01881,insertion,0.1,0.8000924984614054
convnext_small_full,p1_01881,insertion,0.2,0.8674076795578003
convnext_small_full,p1_01881,insertion,0.4,0.9318901101748148
convnext_small_full,p1_01881,insertion,0.6,0.7989800969759623
convnext_small_full,p1_01881,insertion,0.8,0.6715418100357056
convnext_small_full,p1_01881,insertion,1.0,0.6929887930552164
convnext_small_full,p1_01881,random_deletion,0.0,0.6929887930552164
convnext_small_full,p1_01881,random_deletion,0.1,0.734505852063497
convnext_small_full,p1_01881,random_deletion,0.2,0.33026493589083356
convnext_small_full,p1_01881,random_deletion,0.4,0.40038447578748065
convnext_small_full,p1_01881,random_deletion,0.6,0.262894203265508
convnext_small_full,p1_01881,random_deletion,0.8,0.635042687257131
convnext_small_full,p1_01881,random_deletion,1.0,0.5614505310853323
convnext_small_full,p1_01899,deletion,0.0,0.9990968704223633
convnext_small_full,p1_01899,deletion,0.1,0.9858126044273376
convnext_small_full,p1_01899,deletion,0.2,0.022975926287472248
convnext_small_full,p1_01899,deletion,0.4,0.016220161846528452
convnext_small_full,p1_01899,deletion,0.6,0.0357793215662241
convnext_small_full,p1_01899,deletion,0.8,0.03978334739804268
convnext_small_full,p1_01899,deletion,1.0,0.018939075370629627
convnext_small_full,p1_01899,insertion,0.0,0.018939075370629627
convnext_small_full,p1_01899,insertion,0.1,0.13600855196515718
convnext_small_full,p1_01899,insertion,0.2,0.7676912744839987
convnext_small_full,p1_01899,insertion,0.4,0.9977717200915018
convnext_small_full,p1_01899,insertion,0.6,0.9996707042058309
convnext_small_full,p1_01899,insertion,0.8,0.9997097452481588
convnext_small_full,p1_01899,insertion,1.0,0.9990968704223633
convnext_small_full,p1_01899,random_deletion,0.0,0.9990968704223633
convnext_small_full,p1_01899,random_deletion,0.1,0.9995231032371521
convnext_small_full,p1_01899,random_deletion,0.2,0.9963443477948507
convnext_small_full,p1_01899,random_deletion,0.4,0.9439415136973063
convnext_small_full,p1_01899,random_deletion,0.6,0.18751321732997894
convnext_small_full,p1_01899,random_deletion,0.8,0.07525528346498807
convnext_small_full,p1_01899,random_deletion,1.0,0.018939075370629627
convnext_small_full,p1_01974,deletion,0.0,0.862562358379364
convnext_small_full,p1_01974,deletion,0.1,0.6695347229639689
convnext_small_full,p1_01974,deletion,0.2,0.5845705767472585
convnext_small_full,p1_01974,deletion,0.4,0.45767343044281006
convnext_small_full,p1_01974,deletion,0.6,0.382198544840018
convnext_small_full,p1_01974,deletion,0.8,0.2937445839246114
convnext_small_full,p1_01974,deletion,1.0,0.13248306264479956
convnext_small_full,p1_01974,insertion,0.0,0.13248306264479956
convnext_small_full,p1_01974,insertion,0.1,0.37460169692834216
convnext_small_full,p1_01974,insertion,0.2,0.7117870847384135
convnext_small_full,p1_01974,insertion,0.4,0.8360412915547689
convnext_small_full,p1_01974,insertion,0.6,0.8614400029182434
convnext_small_full,p1_01974,insertion,0.8,0.8632163008054098
convnext_small_full,p1_01974,insertion,1.0,0.862562358379364
convnext_small_full,p1_01974,random_deletion,0.0,0.862562358379364
convnext_small_full,p1_01974,random_deletion,0.1,0.8346256216367086
convnext_small_full,p1_01974,random_deletion,0.2,0.8990642428398132
convnext_small_full,p1_01974,random_deletion,0.4,0.8282687465349833
convnext_small_full,p1_01974,random_deletion,0.6,0.696977436542511
convnext_small_full,p1_01974,random_deletion,0.8,0.47111618518829346
convnext_small_full,p1_01974,random_deletion,1.0,0.13248306264479956
convnext_small_full,p1_02033,deletion,0.0,0.865320881207784
convnext_small_full,p1_02033,deletion,0.1,0.7068517804145813
convnext_small_full,p1_02033,deletion,0.2,0.8469968636830648
convnext_small_full,p1_02033,deletion,0.4,0.9764922261238098
convnext_small_full,p1_02033,deletion,0.6,0.9024304747581482
convnext_small_full,p1_02033,deletion,0.8,0.8187844554583231
convnext_small_full,p1_02033,deletion,1.0,0.6976303656895956
convnext_small_full,p1_02033,insertion,0.0,0.6976303656895956
convnext_small_full,p1_02033,insertion,0.1,0.9743502338727316
convnext_small_full,p1_02033,insertion,0.2,0.9448747634887695
convnext_small_full,p1_02033,insertion,0.4,0.9877512057622274
convnext_small_full,p1_02033,insertion,0.6,0.9965670506159464
convnext_small_full,p1_02033,insertion,0.8,0.845969001452128
convnext_small_full,p1_02033,insertion,1.0,0.865320881207784
convnext_small_full,p1_02033,random_deletion,0.0,0.865320881207784
convnext_small_full,p1_02033,random_deletion,0.1,0.9637168248494467
convnext_small_full,p1_02033,random_deletion,0.2,0.9586254358291626
convnext_small_full,p1_02033,random_deletion,0.4,0.9820250272750854
convnext_small_full,p1_02033,random_deletion,0.6,0.9798666636149088
convnext_small_full,p1_02033,random_deletion,0.8,0.8238280216852824
